Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",61.699,265.978
Angola,1.573,9.300
Anguilla,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,11.281,19.565
Arábia Saudita,-,-
Argélia,-,-
Argentina,-,-
Aruba,-,-
Austrália,16.707,101.715
Áustria,-,-
Bahamas,581,5.145
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,22.461,95.893
Belice,-,-
Benin,-,-
Bermudas,-,-
Bolívia,19.147,25.998
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,25.329,174.643
Catar,-,-
"Cayman, Ilhas",-,-
Chile,-,-
China,40.929,279.956
Chipre,-,-
Cingapura,766,5.779
"Cocos (Keeling), Ilhas",-,-
Colômbia,8,30
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",-,-
Costa do Marfim,-,-
Costa Rica,-,-
Coveite (Kuweit),-,-
Croácia,-,-
Cuba,-,-
Curaçao,-,-
Dinamarca,17.892,101.915
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,-,-
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,1.972.980,3.748.940
Estados Unidos,245.368,786.556
Estônia,-,-
Filipinas,-,-
Finlândia,36.682,283.114
França,6.885,42.256
Gabão,-,-
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,1.108,5.336
Haiti,-,-
Honduras,-,-
Hong Kong,16.013,61.224
Hungria,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
Índia,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Itália,1.710,11.967
Jamaica,-,-
Japão,91.988,429.088
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Luxemburgo,5.135,29.474
Macau,-,-
Malásia,-,-
Malavi,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Martinica,-,-
Mauritânia,-,-
México,-,-
Moçambique,-,-
Montenegro,-,-
Namíbia,-,-
Nicarágua,-,-
Nigéria,1.350,2.245
Noruega,2.375,19.008
Nova Caledônia,-,-
Nova Zelândia,1.004,4.092
Omã,-,-
Países Baixos,57.792,255.690
Palau,-,-
Panamá,-,-
Paraguai,481.564,680.828
Peru,-,-
Pitcairn,-,-
Polônia,19.249,90.960
Porto Rico,-,-
Portugal,23.810,17.627
Quênia,6,4
Reino Unido,59.161,305.005
República Dominicana,-,-
Rússia,5.893.291,14.795.694
São Cristóvão e Névis,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,-,-
Sérvia,-,-
Singapura,-,-
Suazilândia,-,-
Suécia,3.195,20.183
Suíça,2.997,29.785
Suriname,1.800,2.960
Tailândia,-,-
Taiwan (Formosa),-,-
Tanzânia,-,-
"Tcheca, República",3.697,23.549
Togo,-,-
Toquelau,-,-
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,-,-
Tuvalu,-,-
Uruguai,1.526,13.343
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
Total,9.149.059,22.744.845
